NDC,Medication_Name,Strength,Form,Route,DEA_Class,Simple_Generic_1,Pharm_Class_1,Thera_Class_1
24033505,DEMEROL 50 MG TABLET,50 mg,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
24033705,DEMEROL 100 MG TABLET,100 mg,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
24195104,TALWIN NX 50 MG-0.5 MG TABLET,50-0.5 mg,Tablet,Oral,C-IV,pentazocine HCl/naloxone HCl,OPIOID ANALGESICS,ANALGESICS
54023524,MORPHINE 15 MG TABLET,15 MG,Tablet,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023525,MORPHINE 15 MG TABLET,15 MG,Tablet,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023624,MORPHINE 30 MG TABLET,30 MG,Tablet,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023625,MORPHINE 30 MG TABLET,30 MG,Tablet,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023749,MORPHINE 10 MG/5 ML ORAL SOLN,10 mg/5 mL,Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023755,MORPHINE 10 MG/5 ML ORAL SOLN,10 mg/5 mL,Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023763,MORPHINE 10 MG/5 ML ORAL SOLN,10 mg/5 mL,Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023849,MORPHINE 20 MG/5 ML (4 MG/ML) ORAL SOLUTION,20 mg/5 mL (4 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54023863,MORPHINE 20 MG/5 ML (4 MG/ML) ORAL SOLUTION,20 mg/5 mL (4 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54024324,CODEINE SULFATE 15 MG TABLET,15 MG,Tablet,Oral,C-II,codeine sulfate,OPIOID ANALGESICS,ANALGESICS
54024424,CODEINE SULFATE 30 MG TABLET,30 MG,Tablet,Oral,C-II,codeine sulfate,OPIOID ANALGESICS,ANALGESICS
54024425,CODEINE SULFATE 30 MG TABLET,30 MG,Tablet,Oral,C-II,codeine sulfate,OPIOID ANALGESICS,ANALGESICS
54024525,CODEINE SULFATE 60 MG TABLET,60 MG,Tablet,Oral,C-II,codeine sulfate,OPIOID ANALGESICS,ANALGESICS
54026424,HYDROMORPHONE 4 MG TABLET,4 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
54026425,HYDROMORPHONE 4 MG TABLET,4 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
54026525,HYDROMORPHONE 8 MG TABLET,8 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
54028325,OXYMORPHONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
54028425,OXYMORPHONE 10 MG TABLET,10 MG,Tablet,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
54035244,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54038663,HYDROMORPHONE 1 MG/ML ORAL LIQUID,1 mg/mL,Liquid,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
54039041,OXYCODONE 5 MG/5 ML ORAL SOLN,5 mg/5 mL,Solution,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
54039063,OXYCODONE 5 MG/5 ML ORAL SOLN,5 mg/5 mL,Solution,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
54039168,METHADONE 10 MG/ML ORAL CONCENTRATE,10 mg/mL,Concentrate,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54039268,METHADONE 10 MG/ML ORAL CONCENTRATE,10 mg/mL,Concentrate,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
54039344,OXYCODONE 20 MG/ML ORAL CONCENTRATE,20 mg/mL,Concentrate,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
54040441,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54040444,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54040450,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54043825,LEVORPHANOL TARTRATE 2 MG TABLET,2 mg,Tablet,Oral,C-II,levorphanol tartrate,OPIOID ANALGESICS,ANALGESICS
54051741,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54051744,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54051750,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
54052244,OXYCODONE 20 MG/ML ORAL CONCENTRATE,20 mg/mL,Concentrate,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
54052341,OXYCODONE 5 MG/5 ML ORAL SOLN,5 mg/5 mL,Solution,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
54052363,OXYCODONE 5 MG/5 ML ORAL SOLN,5 mg/5 mL,Solution,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
