STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
Arkansas,Arkansas,19019,19007,19009,18871,18964,18755,18479,18330,18154,17872,17726,17486,2,-138,93,-209,-276,-149,-176,-282,-146,-240,70,234,286,243,218,248,248,233,217,206,33,258,254,249,215,243,234,248,223,216,37,-24,32,-6,3,5,14,-15,-6,-10,5,22,18,8,-1,-3,0,1,3,-3,-39,-137,44,-213,-283,-151,-188,-271,-141,-229,-34,-115,62,-205,-284,-154,-188,-270,-138,-232,-1,1,-1,2,5,0,-2,3,-2,2,247,247,247,247,247,247,247,247,247,247,247,12.354804646,15.118276728,12.884753042,11.709727668,13.474965362,13.595000548,12.935102426,12.191696163,11.700556628,13.621964097,13.42672129,13.202895093,11.548584627,13.203292673,12.82754084,13.767834342,12.528793752,12.268544814,-1.267159451,1.6915554381,-0.31814205,0.1611430413,0.2716726887,0.7674597084,-0.832731916,-0.33709759,-0.567988186,1.16156283,0.9514999339,0.4241894006,-0.053714347,-0.163003613,0,0.0555154611,0.1685487949,-0.170396456,-7.233368532,2.3258887274,-11.29404279,-15.20116023,-8.2045152,-10.30588751,-15.04468995,-7.921793359,-13.00692946,-6.071805702,3.2773886613,-10.86985339,-15.25487458,-8.367518813,-10.30588751,-14.98917449,-7.753244564,-13.17732591
Arkansas,Ashley,21853,21845,21829,21673,21515,21278,20956,20838,20530,20311,20012,19657,-16,-156,-158,-237,-322,-118,-308,-219,-299,-355,58,302,262,266,259,253,240,227,215,213,48,271,210,258,261,269,252,267,261,251,10,31,52,8,-2,-16,-12,-40,-46,-38,1,1,-5,-7,-3,-4,-4,-4,-4,-4,-26,-188,-207,-242,-323,-97,-294,-174,-250,-313,-25,-187,-212,-249,-326,-101,-298,-178,-254,-317,-1,0,2,4,6,-1,2,-1,1,0,191,191,191,191,191,191,191,191,191,191,191,13.884419107,12.132999907,12.431939803,12.264999763,12.107001005,11.603171534,11.116280209,10.663889096,10.7388641,12.459197278,9.7249235899,12.058046877,12.359710186,12.872661148,12.18333011,13.075096104,12.945465367,12.65471779,1.4252218289,2.4080763175,0.3738929264,-0.094710423,-0.765660143,-0.580158577,-1.958815896,-2.281576272,-1.915853689,0.0459748977,-0.2315458,-0.327156311,-0.142065634,-0.191415036,-0.193386192,-0.19588159,-0.198397937,-0.201668809,-8.643280769,-9.58599611,-11.31026102,-15.2957333,-4.641814615,-14.21388513,-8.520849147,-12.39987104,-15.78058434,-8.597305871,-9.81754191,-11.63741733,-15.43779893,-4.83322965,-14.40727132,-8.716730736,-12.59826898,-15.98225314
Arkansas,Baxter,41513,41511,41510,41349,41080,40983,40888,41138,41131,41308,41624,41932,-1,-161,-269,-97,-95,250,-7,177,316,308,83,334,325,344,328,387,375,367,352,349,135,680,674,666,662,636,713,695,676,695,-52,-346,-349,-322,-334,-249,-338,-328,-324,-346,-2,-6,-15,-4,18,13,11,7,-1,-1,56,194,100,232,220,484,322,499,644,656,54,188,85,228,238,497,333,506,643,655,-3,-3,-5,-3,1,2,-2,-1,-3,-1,595,595,595,595,595,595,595,595,595,595,595,8.061888268,7.8855742518,8.3838026882,8.012605196,9.4360324775,9.1164351092,8.90355293,8.4888824579,8.3536789698,16.413425216,16.353467833,16.231431949,16.171782438,15.50727818,17.333381954,16.860951734,16.302512902,16.635549811,-8.351536948,-8.467893581,-7.84762926,-8.159177242,-6.071245703,-8.216946845,-7.957398804,-7.813630444,-8.281870841,-0.14482434,-0.363949581,-0.097486078,0.4397161388,0.3169726672,0.2674154299,0.1698225355,-0.024116143,-0.023936043,4.6826536647,2.426330539,5.6541925106,5.3743083632,11.801136225,7.8279789471,12.105920741,15.530796315,15.702044138,4.5378293245,2.0623809582,5.5567064329,5.814024502,12.118108892,8.095394377,12.275743277,15.506680172,15.678108095
Arkansas,Benton,221339,221348,222593,229171,234938,239461,244841,251591,259212,266585,272266,279141,1245,6578,5767,4523,5380,6750,7621,7373,5681,6875,834,3283,3361,3235,3432,3554,3643,3746,3695,3744,295,1590,1670,1670,1621,1855,1772,1747,1861,1820,539,1693,1691,1565,1811,1699,1871,1999,1834,1924,145,810,948,549,785,681,828,515,176,107,529,4051,3052,2368,2742,4318,4897,4837,3658,4823,674,4861,4000,2917,3527,4999,5725,5352,3834,4930,32,24,76,41,42,52,25,22,13,21,2061,2061,2139,2132,2109,2109,2137,2149,2145,2080,2081,14.534137293,14.483666552,13.638308681,14.172974714,14.318174493,14.263815992,14.248845087,13.714366309,13.579805842,7.0390734986,7.1965852849,7.0404870162,6.6941701665,7.4733296806,6.9380955084,6.6451501245,6.9072897703,6.6012945066,7.4950637944,7.2870812675,6.5978216649,7.4788045476,6.8448448126,7.3257204832,7.6036949621,6.8070765388,6.9785113355,3.585943103,4.0852472156,2.3145074083,3.24177889,2.7435781738,3.2419543346,1.9589309182,0.6532418052,0.3880980836,17.934142605,13.152082808,9.9831576373,11.323513015,17.396138847,19.173732339,18.398735634,13.577037066,17.493430442,21.520085708,17.237330024,12.297665046,14.565291905,20.139717021,22.415686674,20.357666552,14.230278871,17.881528526
Arkansas,Boone,36903,36920,36893,37086,37333,37328,37116,37119,37259,37459,37385,37432,-27,193,247,-5,-212,3,140,200,-74,47,91,421,478,486,456,435,478,467,408,407,127,412,397,459,400,447,476,462,440,460,-36,9,81,27,56,-12,2,5,-32,-53,-2,-8,-7,-19,-2,-5,-7,-10,-11,-11,16,191,179,-8,-266,24,150,205,-29,114,14,183,172,-27,-268,19,143,195,-40,103,-5,1,-6,-5,0,-4,-5,0,-2,-3,465,465,465,465,465,465,465,465,465,465,465,11.381608294,12.846181755,13.01884518,12.250819408,11.719539301,12.853263062,12.500334591,10.902677569,10.879880241,11.138296003,10.669318319,12.295576004,10.746332814,12.042836937,12.799483718,12.366498033,11.757789536,12.296670543,0.2433122913,2.1768634354,0.7232691767,1.5044865939,-0.323297636,0.0537793434,0.1338365588,-0.855111966,-1.416790302,-0.216277592,-0.188124001,-0.508967198,-0.053731664,-0.134707348,-0.188227702,-0.267673118,-0.293944738,-0.294050817,5.1636275159,4.8105994437,-0.214301978,-7.146311321,0.6465952718,4.0334507516,5.4872989106,-0.774945219,3.0474357432,4.9473499236,4.6224754431,-0.723269177,-7.200042985,0.5118879235,3.8452230498,5.219625793,-1.068889958,2.7533849259
Arkansas,Bradley,11508,11505,11470,11432,11266,11120,11007,10999,10959,10813,10838,10763,-35,-38,-166,-146,-113,-8,-40,-146,25,-75,33,147,128,151,121,138,134,131,120,116,60,152,147,157,167,142,139,157,144,130,-27,-5,-19,-6,-46,-4,-5,-26,-24,-14,8,0,-4,2,-4,-1,-1,-1,-5,-5,-15,-33,-148,-143,-64,-2,-32,-121,53,-56,-7,-33,-152,-141,-68,-3,-33,-122,48,-61,-1,0,5,1,1,-1,-2,2,1,0,220,220,268,239,223,225,223,227,227,230,227,12.837306785,11.278526742,13.490574466,10.936864464,12.542033991,12.205118863,12.033804887,11.08493834,10.740243507,13.273949873,12.952683056,14.026623783,15.094680707,12.905571208,12.660533746,14.422193643,13.301926008,12.036479793,-0.436643088,-1.674156313,-0.536049317,-4.157816243,-0.363537217,-0.455414883,-2.388388756,-2.216987668,-1.296236285,0,-0.352453961,0.1786831055,-0.361549238,-0.090884304,-0.091082977,-0.091861106,-0.461872431,-0.46294153,-2.88184438,-13.04079655,-12.77584204,-5.784787816,-0.181768609,-2.914655251,-11.11519383,4.8958477668,-5.184945141,-2.88184438,-13.39325051,-12.59715894,-6.146337054,-0.272652913,-3.005738228,-11.20705493,4.433975336,-5.647886672
Arkansas,Calhoun,5368,5368,5362,5243,5278,5192,5167,5200,5143,5201,5227,5189,-6,-119,35,-86,-25,33,-57,58,26,-38,15,40,48,50,46,43,49,50,41,39,4,57,50,70,65,57,71,80,61,48,11,-17,-2,-20,-19,-14,-22,-30,-20,-9,0,0,0,0,0,0,0,0,-1,-1,-16,-103,37,-66,-4,46,-35,88,47,-28,-16,-103,37,-66,-4,46,-35,88,46,-29,-1,1,0,0,-2,1,0,0,0,0,175,175,175,175,175,175,175,175,175,175,175,7.543611504,9.124607927,9.5510983763,8.8811661357,8.2955531976,9.4750072513,9.6674400619,7.8634445723,7.4884792627,10.749646393,9.504799924,13.371537727,12.549473887,10.996430983,13.72909214,15.467904099,11.699271193,9.2165898618,-3.206034889,-0.380191997,-3.820439351,-3.668307752,-2.700877785,-4.254084888,-5.800464037,-3.835826621,-1.728110599,0,0,0,0,0,0,0,-0.191791331,-0.192012289,-19.42479962,7.0335519437,-12.60744986,-0.772275316,8.8743127231,-6.767862322,17.014694509,9.0141925585,-5.376344086,-19.42479962,7.0335519437,-12.60744986,-0.772275316,8.8743127231,-6.767862322,17.014694509,8.8224012275,-5.568356375
Arkansas,Carroll,27446,27449,27553,27466,27623,27791,27734,27755,27728,27865,28097,28380,104,-87,157,168,-57,21,-27,137,232,283,74,314,305,307,313,342,333,313,298,301,38,303,305,298,308,335,308,342,296,305,36,11,0,9,5,7,25,-29,2,-4,6,8,21,36,48,37,63,39,24,25,60,-105,136,123,-103,-21,-113,130,204,265,66,-97,157,159,-55,16,-50,169,228,290,2,-1,0,0,-7,-2,-2,-3,2,-3,230,230,230,230,230,230,230,230,230,230,230,11.414238718,11.072990978,11.080232432,11.27420081,12.326767467,12.003676802,11.260410483,10.650083986,10.659206403,11.014376852,11.072990978,10.755404771,11.094101756,12.074465209,11.102499865,12.303707301,10.578606912,10.800856986,0.3998618659,0,0.3248276609,0.1800990545,0.2523022581,0.9011769371,-1.043296818,0.0714770737,-0.141650583,0.2908086297,0.7624026575,1.2993106435,1.728950923,1.33359765,2.2709658814,1.4030543414,0.8577248847,0.8853161464,-3.816863265,4.9374648296,4.4393113654,-3.710040522,-0.756906774,-4.073319756,4.6768478046,7.2906615203,9.3843511518,-3.526054636,5.6998674872,5.7386220089,-1.981089599,0.5766908757,-1.802353874,6.079902146,8.1483864051,10.269667298
Arkansas,Chicot,11800,11800,11799,11703,11498,11362,11211,10970,10899,10647,10442,10118,-1,-96,-205,-136,-151,-241,-71,-252,-205,-324,34,169,168,128,142,103,132,148,106,111,20,181,159,153,149,159,151,139,144,150,14,-12,9,-25,-7,-56,-19,9,-38,-39,2,16,17,8,17,8,3,0,-2,-2,-17,-100,-238,-119,-165,-192,-55,-261,-165,-283,-15,-84,-221,-111,-148,-184,-52,-261,-167,-285,0,0,7,0,4,-1,0,0,0,0,722,722,722,722,724,727,731,770,763,769,769,14.381754744,14.482134391,11.198600175,12.581402561,9.2872278076,12.071882574,13.738048826,10.052634075,10.79766537,15.40294443,13.706305763,13.385826772,13.201612546,14.336594383,13.809502035,12.902626938,13.656408554,14.591439689,-1.021189686,0.7758286281,-2.187226597,-0.620209985,-5.049366575,-1.737619461,0.8354218881,-3.60377448,-3.793774319,1.361586248,1.4654540753,0.6999125109,1.5062242502,0.7213380821,0.2743609676,0,-0.189672341,-0.194552529,-8.50991405,-20.51635705,-10.4111986,-14.61923537,-17.31211397,-5.029951072,-24.22723475,-15.64796814,-27.52918288,-7.148327802,-19.05090298,-9.711286089,-13.11301112,-16.59077589,-4.755590105,-24.22723475,-15.83764048,-27.72373541
Arkansas,Clark,22995,22991,22925,22928,22755,22582,22557,22513,22602,22184,22313,22320,-66,3,-173,-173,-25,-44,89,-418,129,7,67,242,251,220,242,250,232,233,240,233,96,269,249,249,232,271,208,269,235,241,-29,-27,2,-29,10,-21,24,-36,5,-8,7,13,10,14,12,16,15,9,2,2,-46,19,-190,-160,-42,-36,50,-395,122,14,-39,32,-180,-146,-30,-20,65,-386,124,16,2,-2,5,2,-5,-3,0,4,0,-1,2612,2612,2766,2653,2632,2753,2817,2908,2755,2985,2986,10.555470743,10.98877044,9.7050973818,10.722435145,11.093854005,10.284827663,10.405037288,10.787244084,10.440705308,11.733147231,10.901210516,10.984405673,10.279359312,12.025737741,9.2208799734,12.012682535,10.562509832,10.79918446,-1.177676488,0.0875599238,-1.279308291,0.4430758324,-0.931883736,1.0639476892,-1.607645246,0.2247342517,-0.358479152,0.5670294201,0.4377996191,0.6175971061,0.5316909989,0.7100066563,0.6649673058,0.4019113116,0.0898937007,0.089619788,0.8287353063,-8.318192763,-7.058252641,-1.860918496,-1.597514977,2.2165576859,-17.6394409,5.4835157426,0.6273385163,1.3957647264,-7.880393144,-6.440655535,-1.329227497,-0.88750832,2.8815249917,-17.23752959,5.5734094433,0.7169583044
